	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200854103107	ダ	右	1300	曇	良	14:15	霜降特別 		2008-10-31	12	高知	1	(馬齢)		5	110	1	5-7	1290	3	5-7	150	3	5-6	130	1	6-7	310	5	5=>7	860	4	5-6-7	220	2	5=>7=>6	1650	5.0	5,7-6,3,4,8,2,1	5,7-6-3-4,(2,8),1	5,7,6=3-4,8,2,1	5,7,6-3=4,1,8,2		
200854103108	ダ	右	1400	曇	良	14:50	B4		2008-10-31	12	高知	1	(馬齢)		3	130	1	3-9	440	2	3-9	160	2	3-10	130	1	9-10	180	3	3=>9	650	3	3-9-10	220	1	3=>9=>10	710	2.0	3,10-8,9,4,1,2,(5,7)	3,10-8,9,4,1,(2,7),5	3-10-8,9,1,4,7,5,2	3-10,9,(8,1)-7,4,5-2		
200854110801	ダ	右	1300	雨	不良	11:15	Cロ		2008-11-8	12	高知	4	(馬齢)		4	220	1	4-7	650	3	4-7	430	6	3-4	240	2	3-7	340	5	4=>7	1500	7	3-4-7	1160	4	4=>7=>3	4500	18.0	7,4,3,(1,6),(2,5)	7436125	7,4,(3,6),2,1,5	4736125		
200854110802	ダ	右	1300	雨	不良	11:50	Cイ		2008-11-8	12	高知	4	(馬齢)		7	680	2	5-7	1680	5	5-7	430	5	3-7	400	4	3-5	450	6	7=>5	3060	10	3-5-7	1630	5	7=>5=>3	9080	28.0	6,7,4,(1,5),2,3	6,7,4,(1,5),2,3	(6,7),4,5,1,3,2	7,(5,4),3,6,1-2		
200854110803	ダ	右	1300	雨	不良	12:25	E11		2008-11-8	12	高知	4	(馬齢)		3	190	2	3-6	150	1	3-6	100	1	2-3	130	3	2-6	110	2	3=>6	280	2	2-3-6	170	1	3=>6=>2	470	1.0	632154	632154	632154	3,6,2-5,1-4		
200854110804	ダ	右	1400	雨	不良	13:00	E10		2008-11-8	12	高知	4	(馬齢)		2	160	1	2-5	150	1	2-5	100	1	2-4	110	2	4-5	130	3	2=>5	210	1	2-4-5	150	1	2=>5=>4	280	1.0	1,2-4,5,7,6,3	1,2-4,5,7,6,3	2,1,(4,5)-7,6,3	2,5,4-1,7-3,6		
200854110805	ダ	右	1300	雨	不良	13:35	Dロ		2008-11-8	12	高知	4	(馬齢)		2	540	2	2-4	310	1	2-4	160	2	2-7	430	7	4-7	150	1	2=>4	1110	4	2-4-7	450	2	2=>4=>7	4300	15.0	4,(1,7),2-(3,8),6,5	4,(1,7),2=3,8,6,5	4,(1,7),2=3,6,8,5	4,7,2,1-3,6,5,8		
200854110806	ダ	右	1300	雨	不良	14:10	馬産地日高協賛特別		2008-11-8	12	高知	4	(馬齢)		4	140	1	2-4	580	2	2-4	370	4	3-4	250	2	2-3	580	8	4=>2	700	3	2-3-4	1200	4	4=>2=>3	2440	9.0	1,4,6,(2,5),7,3	1462537	4,(1,6),2,5,3,7	4261537		
200854110807	ダ	右	1300	雨	不良	14:45	シリーズ第1戦		2008-11-8	12	高知	4	(馬齢)		10	1400	6	9-10	3320	16	9-10	1,300	19	2-10	660	9	2-9	1,190	17	10=>9	8430	40	2-9-10	10820	47	10=>9=>2	66470	232.0	9,10,6,4,5,(2,7),(1,3),8	9,10,6,4,2,5,7,1,(3,8)	9,10,6,2,4,(1,5),3,(7,8)	9,10,2,6,(1,5),3,4,7,8		
200854110808	ダ	右	1600	雨	不良	15:20	三好絵梨香生誕特別 		2008-11-8	12	高知	4	(馬齢)		4	160	1	3-4	250	1	3-4	130	1	4-7	160	2	3-7	270	3	4=>3	320	1	3-4-7	410	1	4=>3=>7	790	1.0	4,9-3,7,1,8,5,6,2	4,9,3,7,1,8,5,6-2	4,3,7,9,8,1,(6,5)-2	4,3,7,8,2,(1,6),5,9		
200854110809	ダ	右	1400	雨	不良	16:00	シリーズ第2戦		2008-11-8	12	高知	4	(馬齢)		8	450	3	6-8	5620	23	6-8	1,170	10	7-8	370	3	6-7	1,930	32	8=>6	8620	29	6-7-8	5480	14	8=>6=>7	58330	159.0	1,5,9,3,7,8,2,10,(6,4)	1,5,9,3,7,8,2,(6,10),4	(1,5),8,7,9,3,(2,6),10,4	(5,8),(7,1),6,3,9,(2,10),4		
200854110810	ダ	右	1300	雨	不良	16:35	ファイナルレース		2008-11-8	12	高知	4	(馬齢)		1	660	3	1-7	390	1	1-7	190	2	1-3	450	7	3-7	140	1	1=>7	1050	5	1-3-7	640	1	1=>7=>3	3080	8.0	1,8,(6,7)-(2,3),4,5	1,8,(6,7)-3,2-(4,5)	1,8,(6,7)-3,2,(4,5)	1,7,(6,8),3-2-5,4		
200854112301	ダ	右	1300	曇	良	11:15	Dニ		2008-11-23	13	高知	3	(馬齢)		3	100	1	3-5	660	2	3-5	140	2	3-7	100	1	5-7	200	3	3=>5	810	2	3-5-7	210	1	3=>5=>7	990	3.0	3,(1,2),5,7,6,8	3,(1,2),5,7,6,8	3,5,2,1,7-(6,8)	3,5,7,2-1,6,8		
200854112302	ダ	右	1300	曇	良	11:45	星井美希誕生日特別		2008-11-23	13	高知	3	(馬齢)		4	640	2	4-6	100	1	4-6	100	1	4-7	460	9	6-7	380	8	4=>6	670	2	4-6-7	620	2	4=>6=>7	3300	8.0	6,4,3,5,(1,7,8)-2	6,4,3,5,(1,7,8)-2	6,4,(1,5,7),8,3-2	(6,4)-7,1,5,8,2,3		
200854112303	ダ	右	1300	曇	良	12:15	Dロ		2008-11-23	13	高知	3	(馬齢)		7	100	1	5-7	210	1	5-7	140	1	1-7	280	4	1-5	440	7	7=>5	230	1	1-5-7	1030	5	7=>5=>1	1730	6.0	7,6,1,4,2-5,3	7,(1,6),4,2-5,3	7,(1,6),4,2,5-3	7,1,5,4,(2,6)-3		
200854112304	ダ	右	1300	曇	良	12:45	Dイ		2008-11-23	13	高知	3	(馬齢)		1	180	1	1-7	100	1	1-7	100	1	1-8	240	5	7-8	220	4	1=>7	220	1	1-7-8	330	2	1=>7=>8	700	3.0	1,7,8-2,(3,5,6),4	1,7,8-(2,5,6),3,4	1,7,8-6,2,5,3,4	1,7-8,6=2,4,5,3		
200854112305	ダ	右	1300	曇	良	13:15	Cロ		2008-11-23	13	高知	3	(馬齢)		2	100	1	2-6	580	3	2-6	570	5	2-7	940	11	6-7	3,510	23	2=>6	890	5	2-6-7	8700	22	2=>6=>7	18870	58.0	2,3,6,(1,7),8,4,5	2,3,6,(1,7),8,4,5	2,6,(3,7),(1,8),5,4	2,6,(3,7),8,5,1,4		
200854112306	ダ	右	1300	曇	良	13:45	Cイ		2008-11-23	13	高知	3	(馬齢)		7	130	1	5-7	440	2	5-7	280	2	3-7	810	11	3-5	1,460	16	7=>5	600	2	3-5-7	2510	9	7=>5=>3	5820	17.0	(5,9),8,(1,2,7),3,4,6	(5,9),(2,8),7,1,(3,4)-6	(5,9),(2,7),8,4,(1,3)-6	759238146		
200854112307	ダ	右	1400	曇	良	14:15	B4		2008-11-23	13	高知	3	(馬齢)		1	230	1	1-7	510	3	1-7	260	3	1-8	460	6	7-8	570	7	1=>7	1010	5	1-7-8	1660	7	1=>7=>8	3880	13.0	46712538	4,6,7,1,2,(3,5),8	(4,6),7,1,2,(3,8),5	6,(1,7),2,8,3,5,4		
200854112308	ダ	右	1400	曇	良	14:50	祝智明幸也香結婚特別		2008-11-23	13	高知	3	(馬齢)		7	1110	2	7-9	2150	6	7-9	500	5	1-7	1,930	15	1-9	3,330	19	7=>9	2900	8	1-7-9	10970	21	7=>9=>1	51790	77	8,(2,9),6,3,(1,4),7,5,10	8,9,2,6,3,1,(4,7),5,10	89236174510	98726153410		
