	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	馬連:的中	馬連:配当	馬連:人気	馬単:的中	馬単:配当	馬単:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker	三連複:的中	三連複:配当	三連複:人気
201053010301	ダ	右	1250	晴	良	10:40	3歳7　		2010-1-3	15	福山	2	(見込)		7	210	1.0	7	110	1	5	280	4	10.0	530.0	7.0	5-7	910	4	7=>5	1330	7	7=>5=>10	29290	69	10,7,5,6,9,(3,4),1,2,8	10,7,5,(6,9),4,3,1,2,8	10,7,5,(6,9),4,3,1,2,8	10,7,5,6,9,4,3,(1,2),8					
201053010302	ダ	右	1250	晴	良	11:10	3歳6　		2010-1-3	15	福山	2	(見込)		8	440	3.0	8	140	3	7	130	2	10.0	100.0	1.0	7-8	640	3	8=>7	1230	4	8=>7=>10	3020	8	1,7,(4,8),5,9,6,3,10,2	(1,7),8,(4,5),9,6,3,10,2	(1,7),8,4,5,3,9,10,6,2	(7,8),1,4,(5,10),3,9,6,2					
201053010303	ダ	右	1250	晴	良	11:40	3歳5　		2010-1-3	15	福山	2	(見込)		1	130	1.0	1	100	1	2	130	3	7.0	110.0	2.0	1-2	440	2	1=>2	660	2	1=>2=>7	1250	2	(1,8),10,2,3,6,7,4,9,5	18102376495	18721034695	17284310965					
201053011001	ダ	右	1250	曇	良	10:50	C6		2010-1-10	15	福山	3	(見込)		10	230	2.0	10	100	1	3	110	2	2.0	250.0	5.0	3-10	230	1	10=>3	450	1	10=>3=>2	3480	12	4,10,1,2,5,(6,8),3,9,7	41012586397	(4,10),2,1,5,8,6,3,9,7	10,2,4,1,(5,3),8,6,7,9					
201053011002	ダ	右	1250	曇	良	11:20	C5		2010-1-10	15	福山	3	(見込)		6	100	1.0	6	100	1	5	130	2	3.0	150.0	4.0	5-6	230	1	6=>5	250	1	6=>5=>3	1080	3	6,(5,10),3,7,4,(8,9),1,2	61053748192	65310874129	6,(5,3),8,10,7,(4,1),2,9					
201053011003	ダ	右	1130	曇	良	11:50	C4		2010-1-10	15	福山	3	(見込)		3	110	1.0	3	100	1	2	190	3	5.0	200.0	4.0	2-3	480	2	3=>2	520	3	3=>2=>5	1980	6	3,9,5,(2,7),10,(4,6),8,1	39572106841	32957106481	32956710481					
201053011004	ダ	右	1250	曇	良	12:20	C3		2010-1-10	15	福山	3	(見込)		5	110	1.0	5	100	1	9	200	5	4.0	170.0	3.0	5-9	540	4	5=>9	550	3	5=>9=>4	1440	5	5,9,(2,8),4,1,7,(3,10),6	5,9,2,8,(1,4),7,3,10,6	5,(9,4),2,1,8,6,7,3,10	59421687103					
201053011005	ダ	右	1250	曇	良	12:55	C2		2010-1-10	15	福山	3	(見込)		6	800	6.0	6	520	6	3	160	3	7.0	260.0	5.0	3-6	1280	6	6=>3	4020	16	6=>3=>7	30620	83	3,7,(6,10),9,4,1,8,5,2	(3,7),(6,10),(4,9),1,8,5,2	(3,7),(6,10,9),4,1,5,8,2	3,7,(6,9),4,1,(5,10),8,2					
201053011006	ダ	右	1250	曇	良	13:30	C1		2010-1-10	15	福山	3	(見込)		7	100	1.0	7	100	1	9	310	5	3.0	180.0	3.0	7-9	840	4	7=>9	940	4	7=>9=>3	3320	11	2,7,9,3,(1,10),4,8,5,6	2,7,(3,9),1,10,4,8,5,6	7,9,2,3,4,(1,10),8,5,6	7,9,(2,3),4,8,1,5,6,10					
201053011007	ダ	右	1600	曇	良	14:05	B6		2010-1-10	15	福山	3	(見込)		6	430	2.0	6	140	3	9	100	1	2.0	130.0	2.0	6-9	280	1	6=>9	940	3	6=>9=>2	2280	5	691837452	691837452	697813452	6,9,7,8,1,4,(5,2),3					
201053011008	ダ	右	1600	曇	良	14:40	おやっさん牧場記念		2010-1-10	15	福山	3	(見込)		8	2030	7.0	8	210	5	7	190	3	9.0	210.0	4.0	7-8	5880	20	8=>7	14620	39	8=>7=>9	68570	158	1,2,(4,3),6,5,(7,9),8	1,2,(4,3),6,5,9,7,8	1,2,(3,6),4,(7,9),8,5	1,2,3,(4,6),(7,9),8,5					
201053011009	ダ	右	1600	曇	良	15:20	福寿草特別 		2010-1-10	15	福山	3	(見込)		5	390	2.0	5	160	2	3	400	4	1.0	470.0	6.0	3-5	1620	5	5=>3	2010	6	5=>3=>1	27750	64	15931026478	15931026478	1,5,(9,10),3,2,(4,6),7,8	15109326487					
201053011010	ダ	右	1600	曇	良	16:00	広島県馬主会会長賞 		2010-1-10	15	福山	3	(見込)		1	440	3.0	1	220	3	7	160	2	9.0	330.0	6.0	1-7	1050	4	1=>7	1930	7	1=>7=>9	25370	82	9,10,(5,8),7,1,4,(2,6),3	9,10,5,8,(1,7),4,2,6,3	9,10,(5,7),8,1,4,2,3,6	9,(10,7),5,1,8,4,3,2,6					
201053011011	ダ	右	1600	曇	良	16:35	寅年特別 		2010-1-10	15	福山	3	(見込)		2	170	1.0	2	100	1	1	140	2	9.0	250.0	6.0	1-2	300	1	2=>1	390	1	2=>1=>9	3130	9	142375968	143275968	1,(4,2),3,(5,7,9),6,8	(1,2),4,5,(7,9),3,6,8					
201053011601	ダ	右	1250	晴	良	10:50	C5		2010-1-16	15	福山	5	(見込)		2	170	1.0	2	180	2	3	2,700	6				2-3	2840	8	2=>3	2790	10	2=>3=>7	13020	39	1,4,(2,7),(5,3,6)	1,4,(2,7),5,3,6	1,4,(2,7),(5,3),6	1,4,2,7,(5,3),6					
201053011602	ダ	右	1250	晴	良	11:20	C4		2010-1-16	15	福山	5	(見込)		7	100	1.0	7	100	1	4	150	3				4-7	190	1	7=>4	170	1	7=>4=>1	1250	4	6,7,(2,4),1,3,5	6724135	7,6,4,(2,1),5,3	7461253					
201053011603	ダ	右	1130	晴	良	11:50	C8		2010-1-16	15	福山	5	(見込)		2	500	2.0	2	110	3	6	100	1	1.0	100.0	2.0	2-6	220	1	2=>6	830	3	2=>6=>1	1770	6	(2,6),7,(1,3),4,8,5	6,2,7,1,(3,4),8,5	62714835	62714835					
201053011604	ダ	右	1250	晴	良	12:20	C7		2010-1-16	15	福山	5	(見込)		7	2210	6.0	7	400	6	1	110	2	2.0	100.0	1.0	1-7	6210	14	7=>1	15980	28	7=>1=>2	43700	88	7,8,3,(1,4),(2,5),6	7,8,3,1,(2,4),5,6	7,8,1,3,2,(5,4),6	7,1,8,3,2,5,4-6					
201053011605	ダ	右	1250	晴	良	12:55	C6		2010-1-16	15	福山	5	(見込)		1	200	1.0	1	110	2	8	100	1	9.0	120.0	3.0	1-8	160	1	1=>8	340	2	1=>8=>9	1150	3	9,8,7,(1,2),3,(4,6),5	9,8,(7,1,2),3,(4,6),5	9,8,(1,2),7,3,5,4,6	981275346					
201053011606	ダ	右	1250	晴	良	13:30	3歳4　		2010-1-16	15	福山	5	(見込)		6	920	4.0	6	150	3	7	120	1	5.0	200.0	5.0	6-7	530	1	6=>7	1370	6	6=>7=>5	5790	19	(4,5),3,(1,8),2,9,6,7	453128967	(4,5),3,1,(6,2),7,9,8	(4,5),6,(3,7),(9,1),2,8					
201053011607	ダ	右	1250	晴	良	14:05	3歳3　		2010-1-16	15	福山	5	(見込)		8	260	2.0	8	110	2	2	100	1	5.0	120.0	3.0	2-8	310	1	8=>2	710	2	8=>2=>5	1890	4	26859731410	26598713410	2,9,(5,6,8),(1,3),7,4,10	2,5,(9,8),1,6,3,7,4,10					
201053011608	ダ	右	1600	晴	良	14:40	寒菊特別 		2010-1-16	15	福山	5	(見込)		8	290	2.0	8	120	1	5	140	3	3.0	570.0	8.0	5-8	470	1	8=>5	760	2	8=>5=>3	18560	62	8,(3,2),6,(5,7),(1,4)	8,2,3,6,5,(1,7),4	8,2,3,(5,6),1,4,7	83526147					
201053011609	ダ	右	1600	晴	良	15:15	春駒特別 		2010-1-16	15	福山	5	(見込)		8	270	2.0	8	100	2	4	220	5	7.0	100.0	1.0	4-8	4820	9	8=>4	7460	14	8=>4=>7	14370	33	34617825	34617825	(3,4),6,(1,8),7,5,2	(3,4),(6,8),1,7,5,2					
201053011610	ダ	右	1800	晴	良	15:50	新春賞 		2010-1-16	15	福山	5	(規定)		9	860	4.0	9	370	4	3	110	1	6.0	600.0	7.0	3-9	720	3	9=>3	2650	9	9=>3=>6	36260	96	1,2,3,4,(9,5),8,7,6	1,2,3,4,(9,5),8,6,7	1,3,(9,5),7,(6,8),4,2	3,1,9,(5,7),6,8,4,2					
201053011611	ダ	右	1600	晴	良	16:25	水仙特別 		2010-1-16	15	福山	5	(見込)		8	6830	9.0	8	580	8	7	310	5	6.0	130.0	1.0	7-8	19730	24	8=>7	58440	61	8=>7=>6	182840	251	1,5,7,3,9,(2,8),4,6	157398246	1,5,7,(3,9),2,8,6,4	1,5,7,3,(2,9),8,6,4					
201053011701	ダ	右	1250	晴	良	10:50	3歳2　		2010-1-17	15	福山	6	(見込)		9	4530	8.0	9	440	8	4	120	1	8.0	160.0	3.0	4-9	18560	31	9=>4	55990	61	9=>4=>8	229940	269	37849165	37849156	37849156	38749156					
201053011702	ダ	右	1250	晴	良	11:20	3歳1　		2010-1-17	15	福山	6	(見込)		8	180	1.0	8	100	1	2	220	4	9.0	360.0	5.0	2-8	800	4	8=>2	1080	4	8=>2=>9	11900	41	518972463	518972463	5,1,(2,8),9,7,4,6,3	5,8,(2,1),9,7,4,6,3					
201053013101	ダ	右	1250	曇	稍重	10:50	3歳4　条件		2010-1-31	16	福山	3	(馬齢)		9	190	1.0	9	100	1	2	110	2	3.0	200.0	4.0	2-9	250	1	9=>2	480	1	9=>2=>3	3050	11	923154786	9,2,(1,3),(8,4,5),7,6	9,2,1,3,(5,7),8,4,6	921357864					
201053013102	ダ	右	1250	曇	稍重	11:20	3歳3　条件		2010-1-31	16	福山	3	(馬齢)		4	1500	5.0	4	530	4	5	680	7	2.0	630.0	6.0	4-5	8930	24	4=>5	31500	48	4=>5=>2	317950	391	4,8,9,(1,10),3,5,(2,7),6	4,8,(1,9,10,3),5,2,7,6	4,9,(1,8,10,5),3,(2,7),6	4,9,(1,5),10,(2,7),8,3,6					
201053013103	ダ	右	1130	雨	稍重	11:50	C2		2010-1-31	16	福山	3	(馬齢)		7	210	1.0	7	110	2	9	100	1	5.0	200.0	5.0	7-9	310	1	7=>9	560	1	7=>9=>5	3020	10	(5,7),9,(2,6),3,1,8,4	579326184	(5,7),9,3,(2,6),1,8,4	(5,7),9,3,6,2,1,8,4					
201053013104	ダ	右	1250	雨	稍重	12:20	C1		2010-1-31	16	福山	3	(馬齢)		6	1190	6.0	6	170	3	7	200	4	9.0	140.0	2.0	6-7	2550	9	6=>7	4100	17	6=>7=>9	18900	60	(3,8),9,(1,4),7,2,6,5	3,(8,9),1,4,7,(2,6),5	(3,9),7,(8,6,5),4,2,1	(3,9),(6,7),5,8,4,2,1					
201053013105	ダ	右	1600	雨	稍重	12:55	3歳2　条件		2010-1-31	16	福山	3	(馬齢)		4	460	3.0	4	160	4	2	130	2	5.0	140.0	3.0	2-4	1180	6	4=>2	2130	11	4=>2=>5	7650	28	72356481	7,2,(3,5),6,4,(1,8)	(2,5),4,3,6,7,8,1	25436781					
201053013106	ダ	右	1600	雨	稍重	13:30	3歳1　条件		2010-1-31	16	福山	3	(馬齢)		4	440	2.0	4	150	3	1	150	2	5.0	170.0	4.0	1-4	1240	5	4=>1	1880	8	4=>1=>5	6850	23	375194826	375194826	3,7,(1,5,9),4,8,6-2	3,9,(1,5,4),7,8,6=2					
201053013107	ダ	右	1600	雨	稍重	14:05	B6		2010-1-31	16	福山	3	(馬齢)		7	290	1.0	7	130	2	5	100	1	3.0	480.0	8.0	5-7	520	1	7=>5	950	3	7=>5=>3	5960	23	85637911024	85367911024	(8,5),3,6,7,1,4,9,10,2	(8,5),3,(6,7),1,4,9,10,2					
201053013108	ダ	右	1600	雨	重	14:40	B5		2010-1-31	16	福山	3	(馬齢)		1	110	1.0	1	120	1	3	180	4	5.0	600.0	6.0	1-3	550	2	1=>3	740	3	1=>3=>5	4620	15	10-1,2,5,7,3,6,8,4,9	10-1,2,5,(3,7),6,(4,8),9	10,1,3,2,(6,7,5),9,4,8	11036759248					
201053013109	ダ	右	1600	雨	重	15:15	節分草特別 		2010-1-31	16	福山	3	(馬齢)		5	2080	6.0	5	570	9	6	150	3	3.0	130.0	1.0	5-6	18830	25	5=>6	72450	55	5=>6=>3	246940	250	236487591	236485791	(2,3,6),(5,7),4,(8,9),1	3,6,(2,5,7),(4,9),8,1					
201053020701	ダ	右	1250	晴	稍重	10:50	3歳3　条件		2010-2-7	16	福山	6	(馬齢)		6	590	4.0	6	490	4	5	210	2				5-6	960	5	6=>5	1690	9	6=>5=>4	5200	18	6,5,2,(1,4),3	652143	6,5,(3,2,4),1	653421					
201053020702	ダ	右	1250	晴	稍重	11:20	3歳2　条件		2010-2-7	16	福山	6	(馬齢)		6	210	1.0	6	130	2	3	120	1				3-6	260	1	6=>3	470	1	6=>3=>1	940	1	4,6,(1,3),2,5	461325	(4,6),3,1,2,5	(4,6),3,1,2,5					
201053020703	ダ	右	1250	晴	稍重	11:50	3歳1　条件		2010-2-7	16	福山	6	(馬齢)		6	300	2.0	6	230	2	2	340	5				2-6	940	6	6=>2	1570	5	6=>2=>5	8960	38	3672541	3,6,7,2,(5,4),1	(3,6),(5,7),4,2,1	6354721					
201053020704	ダ	右	1130	晴	稍重	12:20	C2		2010-2-7	16	福山	6	(馬齢)		6	110	1.0	6	100	1	4	100	2	8.0	130.0	3.0	4-6	160	1	6=>4	150	1	6=>4=>8	500	2	6,8,2,4,9,3,5,(1,7)	6,8,2,4,(3,9),(1,5,7)	684293175	6,4,(2,8),(3,9),(1,7),5					
201053020705	ダ	右	1600	晴	稍重	12:50	パンジー特別 		2010-2-7	16	福山	6	(馬齢)		5	100	1.0	5	100	1	3	150	2				3-5	240	2	5=>3	350	2	5=>3=>2	500	2	(5,2),4,6,3,1	(5,2),(4,6,3),1	5,3,2,(4,1,6)	5,3,2,(4,6),1					
201053020706	ダ	右	1600	晴	稍重	13:25	アメジスト特別 		2010-2-7	16	福山	6	(馬齢)		2	260	2.0	2	130	1	5	630	7				2-5	1800	8	2=>5	1690	6	2=>5=>3	16350	45	3,5,(1,7),2,6,4	3517264	3,5,1,2,(4,6),7	3512467					
201053020707	ダ	右	1250	晴	稍重	14:00	C1		2010-2-7	16	福山	6	(馬齢)		8	110	1.0	8	100	1	6	130	2	2.0	480.0	8.0	6-8	200	1	8=>6	240	1	8=>6=>2	4290	14	386245917	386254917	836259417	863259417					
201053020708	ダ	右	1250	晴	稍重	14:40	B6		2010-2-7	16	福山	6	(馬齢)		3	140	1.0	3	100	1	6	100	2	4.0	130.0	3.0	3-6	210	1	3=>6	290	1	3=>6=>4	1290	4	3,4,1,6,5,(2,7),8	3,4,1,6,(2,5),7,8	3,(1,4),6,(2,5),7,8	3,4,(1,6),2,5,7,8					
201053020709	ダ	右	1250	晴	稍重	15:15	B5		2010-2-7	16	福山	6	(馬齢)		4	1300	4.0	4	190	4	2	150	3	7.0	130.0	2.0	2-4	1240	5	4=>2	4610	15	4=>2=>7	13980	43	24635178	2,4,6,3,(1,5),7,8	2,4,(3,6),1,(5,7),8	24631758					
201053020710	ダ	右	1600	晴	稍重	15:55	クイーンカップ	G	2010-2-7	16	福山	6	(別定)		2	130	1.0	2	100	1	10	240	6	7.0	120.0	2.0	2-10	1590	6	2=>10	1920	7	2=>10=>7	6070	20	(1,3,7),2,4,(10,6),8,5,9	(1,3,7),(2,4),10,6,5,9,8	7,(1,3),2,10,4,5,9,6,8	(1,7),(3,2),10,4,5,9,6,8					
201053021401	ダ	右	1250	曇	重	10:50	3歳6　条件		2010-2-14	17	福山	2	(馬齢)		8	170	1.0	8	100	1	1	130	2	2.0	300.0	6.0	1-8	520	1	8=>1	640	1	8=>1=>2	4380	12	358412697	358412697	583142697	583146297					
201053021402	ダ	右	1250	曇	重	11:20	3歳5　条件		2010-2-14	17	福山	2	(馬齢)		10	4700	2.0	10	170	4	7	100	1	6.0	140.0	3.0	7-10	420	1	10=>7	1360	6	10=>7=>6	3950	12	37102584916	37102584916	3,7,10,8,5,2,9,6,(4,1)	7,3,10,5,8,2,6,9,(4,1)					
201053021403	ダ	右	1130	曇	重	11:50	C9		2010-2-14	17	福山	2	(馬齢)		1	1720	6.0	1	260	6	6	150	3	8.0	120.0	1.0	1-6	4120	13	1=>6	13070	28	1=>6=>8	34660	90	(5,9),7,8,3,(2,6),4,1	(5,9),7,8,3,6,2,4,1	9,5,7,8,6,3,4,(2,1)	9,8,5,(7,6),(3,1),4,2					
201053021404	ダ	右	1250	曇	重	12:25	C8		2010-2-14	17	福山	2	(馬齢)		2	610	4.0	2	220	5	1	100	1	9.0	810.0	7.0	1-2	510	2	2=>1	1260	5	2=>1=>9	41620	92	941736258	9,4,1,(3,7),2,6,5,8	914273568	912475368					
201053021405	ダ	右	1250	曇	重	13:00	C7		2010-2-14	17	福山	2	(馬齢)		2	250	2.0	2	110	2	6	100	1	5.0	120.0	3.0	2-6	240	1	2=>6	540	2	2=>6=>5	1360	2	26971831054	269173854	2,6,9,1,7,8,(3,5),4	2,6,1,3,8,(4,9,7,5)					
201053021406	ダ	右	1250	曇	重	13:35	C4		2010-2-14	17	福山	2	(馬齢)		3	1140	4.0	3	130	3	1	100	1	8.0	280.0	5.0	1-3	400	2	3=>1	1120	6	3=>1=>8	3370	17	1,5,8,(4,7),3,2,6	15874326	1,5,8,(3,7),4-2,6	15387426					
201053021407	ダ	右	1250	曇	重	14:10	C3		2010-2-14	17	福山	2	(馬齢)		8	270	1.0	8	130	2	6	130	3	4.0	160.0	4.0	6-8	330	1	8=>6	580	1	8=>6=>4	1500	3	4,6,8,1,2,3,(7,5)	46812375	(6,8),4,3,1,2,7,5	(6,8),4,3,1,2,7,5					
201053021408	ダ	右	1600	曇	重	14:45	ありがとうYMNダブ 		2010-2-14	17	福山	2	(馬齢)		7	2080	6.0	7	210	4	8	100	1	2.0	130.0	3.0	7-8	690	4	7=>8	3350	10	7=>8=>2	7300	22	8,6,7,(5,2,9),1,(3,4)	8,6,7,(5,2),9,1,(3,4)	687291453	8,(6,7),2,1,9,4,(5,3)					
201053022101	ダ	右	1250	晴	稍重	10:50	3歳4　条件		2010-2-21	17	福山	3	(馬齢)		8	540	4.0	8	240	4	4	180	3	10.0	1,020	9.0	4-8	730	3	8=>4	1490	6	8=>4=>10	12280	41	10349175826	10349175826	10,3,4,8,(1,9),5,2,(7,6)	10348591267					
201053022102	ダ	右	1250	晴	稍重	11:20	3歳3　条件		2010-2-21	17	福山	3	(馬齢)		10	330	2.0	10	140	2	7	840	8	4.0	180	3.0	7-10	4450	17	10=>7	5910	20	10=>7=>4	66810	160	7,10,1,8,9,(4,6),5,3,2	71018946532	7,10,(1,8),9,4,(6,5),3,2	71018945362					
201053022103	ダ	右	1130	晴	稍重	11:50	C2		2010-2-21	17	福山	3	(馬齢)		4	110	1.0	4	100	1	2	100	2	6.0	130	3.0	2-4	160	1	4=>2	220	1	4=>2=>6	320	1	468952371	465982317	4,(5,2,6,9),(3,8),1,7	4,(2,6),5,9,3,8,1,7					
201053022104	ダ	右	1250	晴	稍重	12:25	C1		2010-2-21	17	福山	3	(馬齢)		8	130	1.0	8	100	1	5	100	2	6.0	110	3.0	5-8	270	1	8=>5	340	1	8=>5=>6	820	2	5,8,6,(3,9),1,7,(2,4)	5,8,6,(3,9),(1,7),2,4	5,8,(6,9),7,1,3,2,4	5,8,6,(1,9),7,3,2,4					
201053022105	ダ	右	1600	晴	稍重	13:00	3歳2　条件		2010-2-21	17	福山	3	(馬齢)		7	340	1.0	7	140	2	3	300	4	1.0	190	3.0	3-7	1040	5	7=>3	1870	7	7=>3=>1	5830	21	1,6,7,(3,8),2,5,4	1,6,7,(3,8),2,5,4	1,7,(3,8),(6,5,4),2	17385462					
201053022201	ダ	右	1250	曇	良	10:50	C　15		2010-2-22	17	福山	4	(馬齢)		6	310	2.0	6	130	2	7	160	3	8.0	160	4.0	6-7	640	4	6=>7	670	3	6=>7=>8	1520	4	5,6,7,2,3,8,(1,4)	5,6,2,7,3,8,(1,4)	6,7,8,5,(2,3),4,1	67853241					
201053022202	ダ	右	1250	曇	良	11:20	C　14		2010-2-22	17	福山	4	(馬齢)		6	330	2.0	6	100	2	2	100	1	8.0	110	3.0	2-6	250	1	6=>2	720	3	6=>2=>8	1670	3	3,6,(4,5),2,8,7,1	36542871	3,6,5,2,4,8,(1,7)	3,6,4,(2,5),8,1,7					
201053022203	ダ	右	1130	曇	良	11:50	C　13		2010-2-22	17	福山	4	(馬齢)		4	230	1.0	4	130	2	1	180	4	2.0	290	6.0	1-4	1920	8	4=>1	2640	10	4=>1=>2	19260	58	143628597	1,4,3,2,6,(8,9),5,7	4,1-3,2,(9,8),7,5,6	4,1,(3,2),9,(8,7),5,6					
201053022204	ダ	右	1600	曇	良	12:20	ヒヤシンス特別 		2010-2-22	17	福山	4	(馬齢)		3	460	3.0	3	260	4	4	260	3				3-4	1630	7	3=>4	3200	12	3=>4=>5	7050	24	23415	23415	(2,3),4,5,1	(2,3),4,5,1					
201053022205	ダ	右	1250	曇	良	12:55	C9		2010-2-22	17	福山	4	(馬齢)		5	200	1.0	5	140	2	7	150	3				5-7	500	2	5=>7	600	3	5=>7=>3	10340	28	1,2,5,4,7,3-6	1,2,5,4,7,3-6	1,5,2,(4,7),3-6	(1,5),(7,3),4,2,6					
201053022206	ダ	右	1250	晴	良	13:30	C　12		2010-2-22	17	福山	4	(馬齢)		7	320	2.0	7	130	3	5	100	1	4.0	120	2.0	5-7	400	1	7=>5	990	4	7=>5=>4	1860	4	75814632	7,5,(1,8),4,(3,6,2)	7,5,(4,8),1,2,3,6	7,5,4,8,(1,2),3-6					
201053022207	ダ	右	1250	晴	良	14:05	C　11		2010-2-22	17	福山	4	(馬齢)		1	1380	5.0	1	220	5	3	150	3	5.0	110	1.0	1-3	6390	15	1=>3	15330	28	1=>3=>5	30050	74	1,4,(3,6),7,2,5,8	1,4,3,6,(2,7),5,8	13452678	1,3,5,4,2,(6,7),8					
201053022208	ダ	右	1250	晴	良	14:40	C　10		2010-2-22	17	福山	4	(馬齢)		7	140	1.0	7	100	1	5	270	5	2.0	390	6.0	5-7	1590	6	7=>5	1650	5	7=>5=>2	16120	42	(3,8),7,2,6,(5,9),4,1	3,8,(2,7),(6,9),5,4,1	3,7,2,(8,5,9),6,(4,1)	3,7,2,5,9,8,6,(4,1)					
201053022209	ダ	右	1250	晴	良	15:15	C8		2010-2-22	17	福山	4	(馬齢)		2	160	1.0	2	130	1	4	270	7	3.0	240	5.0	2-4	4100	19	2=>4	5910	26	2=>4=>3	67940	205	2,7,8,(4,6),5,1,3	2,7,(4,8),(1,6),5,3	2,7,4,(8,1),5,6,3	2,4,7,(8,1),5,3,6					
201053022210	ダ	右	1600	晴	良	15:55	デイリースポーツ杯第	G	2010-2-22	17	福山	4	(別定)		9	170	1.0	9	150	2	4	210	5	1.0	160	4.0	4-9	820	4	9=>4	1210	5	9=>4=>1	4430	14	89107456123	8,(9,10),(4,7),5,1,6,(3,2)	9,8,(10,4),5,(1,7),6,2,3	9,4,10,(8,5),1,2,(6,7),3					
201053022701	ダ	右	1250	晴	不良	10:50	3歳7　条件		2010-2-27	17	福山	5	(馬齢)		2	1430	6.0	2	1,390	6	5	680	4				2-5	4180	15	2=>5	12070	28	2=>5=>4	67740	113	(1,3),6,2,5,4	(1,3,6),2,5,4	(1,3),6,(5,2),4	(3,6),(1,5,2),4					
201053022702	ダ	右	1250	晴	不良	11:20	3歳6　条件		2010-2-27	17	福山	5	(馬齢)		7	170	1.0	7	130	1	2	170	3				2-7	380	2	7=>2	510	3	7=>2=>6	2570	6	1,5,7,3,(2,6),4	1,5,7,3,(2,6),4	(1,5),7,3,(2,6)-4	7,5,1,(3,2),6-4					
201053022703	ダ	右	1250	晴	不良	11:50	3歳5　条件		2010-2-27	17	福山	5	(馬齢)		3	190	1.0	3	120	1	1	160	2				1-3	190	1	3=>1	310	1	3=>1=>2	1300	3	3,4,1,7,(2,6),5	3412765	3412675	3412765					
201053022704	ダ	右	1130	晴	不良	12:25	C7		2010-2-27	17	福山	5	(馬齢)		3	200	1.0	3	120	2	5	100	1				3-5	220	1	3=>5	480	2	3=>5=>1	1180	2	(3,7),1,4,5,2,6	(3,7),1,4,(2,5),6	3715462	3,(7,5),1,4,6,2					
201053022705	ダ	右	1250	晴	不良	13:00	C6		2010-2-27	17	福山	5	(馬齢)		4	130	1.0	4	130	1	1	140	2				1-4	210	1	4=>1	370	1	4=>1=>6	4450	17	1,3,(5,7),4,2,6	1,(4,3),(5,7),2,6	(1,4),7,3,(2,6),5	(1,4),(2,6,7),3-5					
201053022706	ダ	右	1250	晴	不良	13:35	3歳4　条件		2010-2-27	17	福山	5	(馬齢)		8	1360	6.0	8	220	4	5	130	1	6.0	260	6.0	5-8	1350	6	8=>5	4740	19	8=>5=>6	35370	105	3,8,(1,2,5),(4,6),7	3,8,(1,2),5,(4,6),7	38516247	3,8,(1,5),6,2,4,7					
201053022707	ダ	右	1250	晴	不良	14:10	3歳3　条件		2010-2-27	17	福山	5	(馬齢)		2	160	1.0	2	140	3	1	110	1	7.0	220	6.0	1-2	510	1	2=>1	1020	2	2=>1=>7	5460	13	2,5,1,8,4,3,(6,7)	2,5,1,(4,8),(3,7),6	21584763	2,1,4,(5,8),7,(3,6)					
201053030601	ダ	右	1250	雨	不良	10:50	3歳6　条件		2010-3-6	18	福山	1	(馬齢)		3	120	1.0	3	110	1	7	170	4	5.0	170	3.0	3-7	300	1	3=>7	390	1	3=>7=>5	1890	6	3,7,6-5,8,2,4,1	3,7,6-5,8,2,4,1	3,7,6-5-8,2,4,1	3,7,6,5=8,4,2,1					
201053030602	ダ	右	1250	雨	不良	11:20	3歳5　条件		2010-3-6	18	福山	1	(馬齢)		3	210	1.0	3	120	2	8	100	1	4.0	240	6.0	3-8	380	2	3=>8	510	2	3=>8=>4	4550	13	7,3,6,(2,8,9),4,1,5	7,3,(2,8,6),9,4,1,5	(7,3),8,(4,6),2,5,9,1	378426591					
201053030603	ダ	右	1130	雨	不良	11:55	C　16		2010-3-6	18	福山	1	(馬齢)		1	100	1.0	1	100	1	2	130	2	5.0	500	8.0	1-2	190	1	1=>2	200	1	1=>2=>5	2680	9	1,4,2,7,5,8,6,(3,9)	1,(2,4),7,5,8,6,3,9	124578639	125478639					
201053030604	ダ	右	1250	雨	不良	12:30	C　15		2010-3-6	18	福山	1	(馬齢)		2	340	2.0	2	140	2	4	150	3	8.0	230	5.0	2-4	1120	3	2=>4	1600	4	2=>4=>8	6280	5	9,(1,5),7,(2,6),4,8,3,10	(1,5,9),2,7,(4,6),8,3,10	9,2,1,(5,4,8),3,6,10,7	2,9,8,4,1,3,(10,5,6),7					
201053030605	ダ	右	1250	曇	不良	13:05	3歳4　条件		2010-3-6	18	福山	1	(馬齢)		6	1730	6.0	6	150	3	8	110	1	9.0	150	4.0	6-8	1760	6	6=>8	5710	14	6=>8=>9	24600	64	6,10,(1,4,7,9),8,5,(2,3)	6,10,(1,9),(4,7),8,5,3,2	(6,10),9,1,7,8,4,5,3=2	6,10,9,1,(8,7),4,5,3=2					
